plantID,tier,projectNumber,sampleUniqueID,sampleID,product,flavorName,fatLevel,size,container,dateProcessed,dateCode,sampleDay,test,greaterThanLessThan,dataValue,countability
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,DI,CVTA,<,20,E
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D7,SPC,NULL,860,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D7,CVTA,NULL,1000,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D14,SPC,NULL,21000000,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D14,CVTA,NULL,25000000,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D21,SPC,NULL,780000000,NULL
82,1,507,6848,81,Core,White,Whole,"½ Gal",Plastic,2023-01-10,2023-01-24,D21,CVTA,NULL,540000000,NULL
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,DI,SPC,<,10,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,DI,CVTA,<,20,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D7,SPC,NULL,30,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D7,CVTA,<,20,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D14,SPC,<,10,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D14,CVTA,<,20,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D21,SPC,NULL,100,E
82,1,507,6849,81-1,Core,White,Whole,Gal,Plastic,2023-01-09,2023-01-23,D21,CVTA,<,20,E
82,1,507,6850,85,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-10,2023-01-24,DI,SPC,<,10,E
82,1,507,6850,85,Flavored,Chocolate,Whole,Qt,Plastic,2023-01-10,2023-01-24,DI,CVTA,<,20,E
