,VSLNumber,SampleID,Day_Initial,SPC_DI,SPC_D7,SPC_D14,SPC_D21,CVTA_DI,CVTA_D7,CVTA_D14,CVTA_D21,spoilagetype
689,511,15,3,170,450,1.4e+07,NA,5,280,1.2e+07,NA,PPC
690,511,15-1,3,190,550,2.2e+07,NA,5,100,1.6e+07,NA,PPC
691,511,21,3,10,8000,3.7e+07,NA,5,9700,4.6e+07,NA,PPC
692,511,21-1,3,20,470000,4.1e+08,NA,5,5e+05,4.3e+08,NA,PPC
693,511,21-2,3,30,890000,6e+07,NA,40,920000,6e+07,NA,PPC
694,511,25,2,2.5,620000,4.9e+07,NA,5,9e+05,3.6e+07,NA,PPC
695,511,25-1,2,2.5,1100000,3.2e+08,NA,5,1300000,3.8e+08,NA,PPC
696,511,26,9,17000,NA,3.6e+09,NA,NA,NA,3.7e+09,NA,PPC
697,511,26-1,3,190,3.6e+07,NA,NA,220,3.8e+07,NA,NA,PPC
698,511,31,2,10,10,2.5,17000,5,5,5,5,no spoilage
699,511,31-1,2,2.5,160,89000,1200000,5,5,5,5,spore spoilage
700,511,32,2,10,10,4e+06,5.7e+09,5,5,4e+06,6.4e+09,PPC
701,511,33,2,2.5,10,10,11000,5,5,5,13000,no spoilage
702,511,35,2,2.5,50,1e+05,3.1e+09,5,5,5,5,spore spoilage
703,511,35-1,2,20,2.5,51000,2.5e+09,5,5,5,5,spore spoilage
704,511,35-2,2,2.5,10,42000,3.6e+09,5,5,5,5,spore spoilage
705,511,41,3,10,30,150000,3.4e+07,5,5,140000,2.9e+07,PPC
706,511,41-1,3,2.5,20,80,2000,5,5,5,5,no spoilage
707,511,41-2,3,2.5,30,30,41000,5,5,5,50000,no spoilage
708,511,51,3,30,10,13000,5400000,5,5,5,5,spore spoilage
709,511,51-1,10,10,NA,2.5,20,5,NA,5,5,no spoilage
710,511,55,1,20,30,32000,2.2e+10,5,5,5,5,spore spoilage
711,511,55-1,1,2.5,20,96000,3.6e+07,5,5,5,5,spore spoilage
712,511,56,6,130,NA,220,6400,5,NA,5,5,no spoilage
713,511,56-1,6,30,NA,10,280,5,NA,5,5,no spoilage
714,511,61,1,10,2.5,21000,3800000,5,5,4e+06,6.4e+07,PPC
715,511,61-1,7,4e+06,NA,4.7e+09,4e+08,4e+06,NA,4.8e+09,4.2e+08,PPC
716,511,62,4,90,13000,2.7e+08,3.8e+09,5,11000,5.2e+07,3.7e+09,PPC
717,511,63,4,180,1.9e+07,1.6e+09,2.3e+10,40,1.8e+07,9.3e+08,2.6e+09,PPC
718,511,65,4,20,50000,1.1e+10,1.8e+09,5,2e+05,1.6e+08,1.7e+08,PPC
719,511,65-1,2,2.5,12000,4.3e+09,4e+11,5,13000,4.4e+09,1.4e+10,PPC
720,511,71,3,380,490,8.4e+08,NA,5,200,9.2e+08,NA,PPC
721,511,72,3,610,360,480000,NA,5,20,4e+06,NA,PPC
722,511,72-1,3,80,250,1e+09,NA,5,200,1e+09,NA,PPC
723,511,73,3,980,950,1200,NA,5,5,5,NA,no spoilage
724,511,74,3,1400,1300,1900,NA,5,5,5,NA,no spoilage
725,511,75,3,420,380,8500,NA,5,5,5,NA,no spoilage
726,512,11,3,480,300,1600,NA,5,5,5,NA,no spoilage
727,512,11-1,3,80,180,1500000,NA,5,5,4e+06,NA,PPC
728,512,11-2,3,260,340,1100,NA,5,5,5,NA,no spoilage
729,512,15,2,160,310,620000,NA,5,5,5,NA,spore spoilage
730,512,15-1,2,240,340,1700000,NA,5,5,5,NA,spore spoilage
731,512,21,3,80,510000,2.4e+09,NA,5,620000,2.5e+09,NA,PPC
732,512,21-1,1,30,3600,1.9e+09,NA,5,3100,1.5e+09,NA,PPC
733,512,31,3,40,10,42000,7.1e+08,5,5,42000,8.8e+08,PPC
734,512,32,3,50,40,4e+06,2.2e+09,5,5,4e+06,3e+09,PPC
735,512,32-1,3,570,870,50000,3.3e+08,5,5,76000,3.7e+07,PPC
736,512,32-2,3,30,20000,5.4e+08,1.3e+09,5,17000,6.5e+08,2.2e+09,PPC
737,512,33,3,20,550,2.9e+09,1.9e+09,5,520,2.6e+09,3e+08,PPC
738,512,35,3,20,940,1.1e+10,3.9e+09,5,660,1.1e+10,4e+11,PPC
739,512,35-1,3,20,1700,3.6e+09,4e+11,5,1700,3.5e+09,4.8e+09,PPC
740,512,41,10,6700,NA,1.5e+07,1.2e+10,6800,NA,1.8e+07,7.3e+09,PPC
741,512,42,10,730,NA,700,160000,5,NA,5,5,no spoilage
742,512,42-1,3,570,9200,9e+08,4e+09,5,8800,6.1e+07,4.3e+09,PPC
743,512,42-2,3,420,7800,1.5e+09,1.4e+08,5,7900,1.5e+09,1.2e+08,PPC
744,512,42-3,3,500,28000,2.1e+09,3.9e+09,5,28000,2.3e+09,4.1e+09,PPC
745,512,43,10,330,NA,560,5.8e+07,5,NA,460,6.2e+07,PPC
746,512,44,10,560,NA,220,1200000,5,NA,5,5,spore spoilage
747,512,45,3,20,810,2.1e+07,7.6e+09,5,5,5,5e+05,spore spoilage
748,512,51,3,260,5800,9.6e+08,NA,5,7300,1.1e+09,NA,PPC
749,512,51-1,3,170,17000,9.2e+08,NA,5,24000,9.1e+08,NA,PPC
750,512,52,3,4000,11000,5.2e+08,NA,5,13000,6.3e+08,NA,PPC
751,512,52-1,4,3200,1.6e+07,5.5e+08,NA,420,1.8e+07,6.8e+08,NA,PPC
752,512,52-2,3,330,2400,9.1e+08,NA,5,3300,1e+09,NA,PPC
753,512,53,4,3000,15000,1.1e+09,NA,5,20000,1.1e+09,NA,PPC
754,512,54,4,3800,1100000,3.2e+09,NA,5,1100000,3.9e+09,NA,PPC
755,512,55,4,50,48000,7.4e+09,NA,5,56000,5000,NA,spore spoilage
756,512,55-1,3,3400,2.8e+07,8.4e+09,NA,7800,2.6e+07,6.7e+09,NA,PPC
757,512,61,2,70,1200,1.1e+09,4.5e+09,5,1100,1.2e+09,5.3e+09,PPC
758,512,61-1,3,140,3300,1.9e+09,8.3e+09,5,4100,2.3e+09,8.9e+09,PPC
759,512,62,2,180,3700000,1.8e+09,4.2e+09,100,5700000,1.7e+09,6.2e+09,PPC
760,512,62-1,3,240,NA,4e+06,4e+07,5,5,4e+06,6.7e+08,PPC
761,512,62-2,3,10,2.5,2.5,190,5,5,5,5,no spoilage
762,512,63,2,50,5100,7.5e+08,2.7e+09,5,5700,8.8e+08,2.6e+09,PPC
763,512,64,2,170,3100000,1.4e+09,4.5e+09,100,3500000,1.7e+09,6.9e+09,PPC
764,512,65,3,180,150,4e+06,3700000,5,5,5,5,spore spoilage
765,512,65-1,3,40,10,3600000,8.5e+09,5,20,5e+06,7.6e+09,PPC
766,512,65-2,3,220,6700,1e+10,4e+11,5,11000,3.6e+09,6.4e+09,PPC
767,512,65-3,3,50,49000,8.4e+09,4e+11,20,49000,2.6e+09,3.9e+09,PPC
768,512,66,3,60,70,45000,1.2e+09,5,5,5,5,spore spoilage
769,512,66-1,3,40,380,4e+06,3.1e+09,5,5,5,5,spore spoilage
